,name,lat,lon,population,country
106,Changchun,43.865,125.34,3183.0,China
107,Casablanca,33.6,-7.6164,3181.0,Morocco
108,Dalian,38.9228,121.6298,3167.0,China
109,Cawnpore,26.46,80.32,3162.0,India
110,Kano,12.0,8.52,3140.0,Nigeria
111,Tel Aviv-Yafo,32.08,34.77,3112.0,Israel
112,Addis Ababa,9.0333,38.7,3100.0,Ethiopia
113,Curitiba,-25.42,-49.32,3084.0,Brazil
114,Zibo,36.8,118.05,3061.0,China
115,Jeddah,21.5169,39.2192,3012.0,Saudi Arabia
116,Nairobi,-1.2833,36.8167,3010.0,Kenya
117,Hangzhou,30.25,120.17,3007.0,China
118,Benoni,-26.1496,28.3299,2986.0,South Africa
119,Caracas,10.501,-66.917,2985.0,Venezuela
120,Milan,45.47,9.205,2945.0,Italy
121,Stuttgart,48.78,9.2,2944.7,Germany
122,Kunming,25.07,102.68,2931.0,China
123,Dar es Salaam,-6.8,39.2683,2930.0,Tanzania
124,Minneapolis,44.9635,-93.2678,2926.757,United States
125,Jaipur,26.9211,75.81,2917.0,India
126,Taiyuan,37.875,112.5451,2913.0,China
127,Frankfurt,50.1,8.675,2895.0,Germany
128,Qingdao,36.09,120.33,2866.0,China
129,Surabaya,-7.2492,112.7508,2845.0,Indonesia
130,Lisbon,38.7227,-9.1449,2812.0,Portugal
131,Tampa,27.9942,-82.4451,2804.24,United States
132,Jinan,36.675,116.995,2798.0,China
133,Fukuoka,33.595,130.41,2792.0,Japan
134,Campinas,-22.9,-47.1,2791.0,Brazil
135,Denver,39.7621,-104.8759,2787.266,United States
136,Kaohsiung,22.6333,120.2666,2769.072,Taiwan
137,Quezon City,14.6504,121.03,2761.72,Philippines
138,Katowice,50.2604,19.02,2746.0,Poland
139,Aleppo,36.23,37.17,2738.0,Syria
140,Durban,-29.865,30.98,2729.0,South Africa
141,Kyiv,50.4334,30.5166,2709.0,Ukraine
142,Lucknow,26.855,80.915,2695.0,India
143,Giza,30.01,31.19,2681.863,Egypt
144,Zhengzhou,34.755,113.6651,2636.0,China
145,Taichung,24.1521,120.6817,2629.323,Taiwan
146,Brooklyn,40.6501,-73.9496,2629.15,United States
147,Ibadan,7.38,3.93,2628.0,Nigeria
148,Faisalabad,31.41,73.11,2617.0,Pakistan
149,Fuzhou,26.08,119.3,2606.0,China
150,Changsha,28.2,112.97,2604.0,China
151,Dakar,14.7158,-17.4731,2604.0,Senegal
152,Izmir,38.4361,27.1518,2587.0,Turkey
153,Xiangtan,27.8504,112.9,2586.948,China
154,Lanzhou,36.056,103.792,2561.0,China
155,Incheon,37.4761,126.6422,2550.0,"Korea, South"
156,Sapporo,43.075,141.34,2544.0,Japan
157,Xiamen,24.45,118.08,2519.0,China
158,Guayaquil,-2.22,-79.92,2514.0,Ecuador
159,George Town,5.4136,100.3294,2500.0,Malaysia
160,Mashhad,36.27,59.57,2469.0,Iran
161,Damascus,33.5,36.3,2466.0,Syria
162,Daegu,35.8668,128.607,2460.0,"Korea, South"
163,Nagpur,21.17,79.09,2454.0,India
164,Lianshan,40.7503,120.83,2426.0,China
165,Shijiazhuang,38.05,114.48,2417.0,China
166,Tunis,36.8028,10.1797,2412.5,Tunisia
167,Vienna,48.2,16.3666,2400.0,Austria
168,Jilin,43.85,126.55,2396.0,China
169,Omdurman,15.6167,32.48,2395.159,Sudan
170,Bandung,-6.95,107.57,2394.0,Indonesia
171,Bekasi,-6.2173,106.9723,2378.211,Indonesia
172,Mannheim,49.5004,8.47,2362.0,Germany
173,Nanchang,28.68,115.88,2350.0,China
174,Wenzhou,28.02,120.6501,2350.0,China
175,Queens,40.7498,-73.7976,2333.054,United States
176,Vancouver,49.2734,-123.1216,2313.328,Canada
177,Birmingham,52.475,-1.92,2285.0,United Kingdom
178,Cali,3.4,-76.5,2254.0,Colombia
179,Naples,40.84,14.245,2250.0,Italy
180,Sendai,38.2871,141.0217,2250.0,Japan
181,Manchester,53.5004,-2.248,2230.0,United Kingdom
182,Puebla,19.05,-98.2,2195.0,Mexico
183,Tripoli,32.8925,13.18,2189.0,Libya
184,Tashkent,41.3117,69.2949,2184.0,Uzbekistan
185,Havana,23.132,-82.3642,2174.0,Cuba
186,Gaoping,30.7804,106.13,2174.0,China
187,Baltimore,39.3051,-76.6144,2170.504,United States
188,Nanning,22.82,108.32,2167.0,China
189,Belem,-1.45,-48.48,2167.0,Brazil
190,Patna,25.625,85.13,2158.0,India
191,Santo Domingo,18.4701,-69.9001,2154.0,Dominican Republic
192,Urumqi,43.805,87.575,2151.0,China
193,Zaozhuang,34.88,117.57,2145.0,China
194,Baku,40.3953,49.8622,2122.3,Azerbaijan
195,Accra,5.55,-0.2167,2121.0,Ghana
196,Yantai,37.5304,121.4,2116.0,China
197,Medan,3.58,98.65,2115.0,Indonesia
198,Santa Cruz,-17.7539,-63.226,2102.998,Bolivia
199,Tongshan,34.28,117.18,2091.0,China
200,Riverside,33.9381,-117.3948,2084.749,United States
201,Linyi,35.08,118.33,2082.0,China
202,St. Louis,38.6358,-90.2451,2078.283,United States
203,Las Vegas,36.2333,-115.2654,2073.045,United States
204,Maracaibo,10.73,-71.66,2072.0,Venezuela
205,Kuwait City,29.3697,47.9783,2063.0,Kuwait
206,Ad Dammam,26.4282,50.0997,2054.71,Saudi Arabia
207,Portland,45.5371,-122.65,2052.796,United States
208,Haikou,20.05,110.32,2046.189,China
209,Hiroshima,34.3878,132.4429,2045.0,Japan
210,Baotou,40.6522,109.822,2036.0,China
211,Hefei,31.85,117.28,2035.0,China
212,Indore,22.7151,75.865,2026.0,India
213,Goiania,-16.72,-49.3,2022.0,Brazil
214,Sanaa,15.3547,44.2066,2008.0,Yemen
215,San Antonio,29.4658,-98.5254,2002.53,United States
216,Port-au-Prince,18.541,-72.336,1998.0,Haiti
217,Haiphong,20.83,106.6801,1969.0,Vietnam
218,Suzhou,33.6361,116.9789,1964.0,China
219,Nanyang,33.0004,112.53,1944.0,China
220,Bucharest,44.4334,26.0999,1942.0,Romania
221,Ningbo,29.88,121.55,1923.0,China
222,Douala,4.0604,9.71,1906.0,Cameroon
223,Tangshan,39.6243,118.1944,1879.0,China
224,Tainan,23.0,120.2,1876.312,Taiwan
225,Xiping,40.08,113.3,1873.0,China
226,Asuncion,-25.2964,-57.6415,1870.0,Paraguay
227,Saidu Sharif,34.75,72.35,1860.31,Pakistan
228,Brisbane,-27.455,153.0351,1860.0,Australia
229,Rawalpindi,33.6,73.04,1858.0,Pakistan
230,Sacramento,38.5667,-121.4683,1854.698,United States
231,Beirut,33.872,35.5097,1846.0,Lebanon
232,San Jose,37.3021,-121.8489,1821.899,United States
233,Minsk,53.9,27.5666,1805.0,Belarus
234,Kyoto,35.03,135.75,1805.0,Japan
235,Barranquilla,10.96,-74.8,1798.0,Colombia
236,Orlando,28.4772,-81.3369,1776.841,United States
237,Shuyangzha,34.1299,118.7734,1770.0,China
238,Valencia,10.23,-67.98,1770.0,Venezuela
239,Hamburg,53.55,10.0,1757.0,Germany
240,Vadodara,22.31,73.18,1756.0,India
241,Manaus,-3.1,-60.0,1753.0,Brazil
242,Shangqiu,34.4504,115.65,1753.0,China
243,Wuxi,31.58,120.3,1749.0,China
244,Palembang,-2.98,104.75,1749.0,Indonesia
245,Brussels,50.8333,4.3333,1743.0,Belgium
246,Essen,51.45,7.0166,1742.135,Germany
247,Cleveland,41.4767,-81.6805,1730.363,United States
248,Bhopal,23.25,77.41,1727.0,India
249,Hohhot,40.82,111.66,1726.0,China
250,Pittsburgh,40.4396,-79.9763,1715.297,United States
251,Luoyang,34.68,112.4701,1715.0,China
252,Santos,-23.9537,-46.3329,1709.0,Brazil
253,Jingling,30.6501,113.16,1708.0,China
254,Warsaw,52.25,21.0,1707.0,Poland
255,Rabat,34.0253,-6.8361,1705.0,Morocco
256,Vitoria,-20.324,-40.366,1704.0,Brazil
257,Quito,-0.215,-78.5001,1701.0,Ecuador
258,Antananarivo,-18.9166,47.5166,1697.0,Madagascar
259,Coimbatore,11.0,76.95,1696.0,India
260,Daqing,46.58,125.0,1693.0,China
261,Lu'an,31.7503,116.48,1690.0,China
262,Sanzhou,30.82,108.4,1680.0,China
263,Budapest,47.5,19.0833,1679.0,Hungary
264,Turin,45.0704,7.67,1652.0,Italy
265,Suzhou,31.3005,120.62,1650.0,China
266,Ludhiana,30.9278,75.8723,1649.0,India
267,Cincinnati,39.1412,-84.506,1648.254,United States
268,Kumasi,6.69,-1.63,1646.0,Ghana
269,Manhattan,40.7834,-73.9662,1643.734,United States
270,Qiqihar,47.345,123.99,1641.0,China
271,Anshan,41.115,122.94,1639.0,China
272,Austin,30.3006,-97.7517,1638.716,United States
273,Zhongli,24.965,121.2168,1632.616,Taiwan
274,Handan,36.58,114.48,1631.0,China
275,Tai'an,36.2,117.1201,1629.0,China
276,Esfahan,32.7,51.7,1628.0,Iran
277,Kansas City,39.1239,-94.5541,1615.621,United States
278,Yaounde,3.8667,11.5167,1611.0,Cameroon
279,Shantou,23.37,116.67,1601.0,China
280,Agra,27.1704,78.015,1592.0,India
281,Zhanjiang,21.2,110.38,1590.0,China
282,La Paz,-16.498,-68.15,1590.0,Bolivia
283,Kalyan,19.2502,73.1602,1576.614,India
284,Abuja,9.0833,7.5333,1576.0,Nigeria
285,Harare,-17.8178,31.0447,1572.0,Zimbabwe
286,Indianapolis,39.7771,-86.1458,1564.699,United States
287,Xiantao,30.3704,113.44,1556.0,China
288,Khulna,22.84,89.56,1553.0,Bangladesh
289,Weifang,36.7204,119.1001,1553.0,China
290,Tijuana,32.5,-117.08,1553.0,Mexico
291,Santiago,19.5,-70.67,1550.753,Dominican Republic
292,Xinyang,32.1304,114.07,1541.0,China
293,Luzhou,28.88,105.38,1537.0,China
294,Perth,-31.955,115.84,1532.0,Australia
295,Toluca,19.3304,-99.67,1531.0,Mexico
296,Vishakhapatnam,17.73,83.305,1529.0,India
297,Leeds,53.83,-1.58,1529.0,United Kingdom
298,Kobe,34.68,135.17,1528.478,Japan
299,Columbus,39.986,-82.9851,1528.314,United States
300,Multan,30.2,71.455,1522.0,Pakistan
301,Kochi,10.015,76.2239,1519.0,India
302,Montevideo,-34.858,-56.1711,1513.0,Uruguay
303,Gujranwala,32.1604,74.185,1513.0,Pakistan
304,Niteroi,-22.9,-43.1,1500.513,Brazil
305,Ganzhou,25.92,114.95,1500.0,China
306,Florence,43.78,11.25,1500.0,Italy
307,Liuzhou,24.28,109.25,1497.0,China
308,Bamako,12.65,-8.0,1494.0,Mali
309,Conakry,9.5315,-13.6802,1494.0,Guinea
310,Bursa,40.2,29.07,1492.0,Turkey
311,Leon de los Aldama,21.15,-101.7,1488.0,Mexico
312,Virginia Beach,36.7335,-76.0435,1480.383,United States
313,Nasik,20.0004,73.78,1473.0,India
314,Fushun,41.8654,123.87,1470.0,China
315,Changde,29.03,111.68,1469.0,China
316,Daejeon,36.3355,127.425,1468.0,"Korea, South"
317,Charlotte,35.2079,-80.8304,1467.362,United States
318,Phnom Penh,11.55,104.9166,1466.0,Cambodia
319,Neijiang,29.5804,105.05,1466.0,China
320,Quanzhou,24.9,118.58,1463.0,China
321,Kharkiv,50.0,36.25,1461.0,Ukraine
322,Hyderabad City,25.38,68.375,1459.0,Pakistan
323,Bronx,40.8501,-73.8662,1455.72,United States
324,Lome,6.1319,1.2228,1452.0,Togo
325,Cordoba,-31.4,-64.1823,1452.0,Argentina
326,Huainan,32.63,116.98,1451.0,China
327,Doha,25.2866,51.533,1450.0,Qatar
328,Kuala Lumpur,3.1667,101.7,1448.0,Malaysia
329,Maputo,-25.9553,32.5892,1446.0,Mozambique
330,Kaduna,10.52,7.44,1442.0,Nigeria
331,Gwangju,35.171,126.9104,1440.0,"Korea, South"
332,Kawanakajima,35.53,139.705,1437.266,Japan
333,San Salvador,13.71,-89.203,1433.0,El Salvador
334,Suining,30.5333,105.5333,1425.0,China
335,Lyon,45.77,4.83,1423.0,France
336,Karaj,35.8004,50.97,1423.0,Iran
337,Kampala,0.3167,32.5833,1420.0,Uganda
338,Tabriz,38.0863,46.3012,1413.0,Iran
339,The Hague,52.08,4.27,1406.0,Netherlands
340,Davao,7.11,125.63,1402.0,Philippines
341,Marseille,43.29,5.375,1400.0,France
342,Meerut,29.0004,77.7,1398.0,India
343,Mianyang,31.47,104.77,1396.0,China
344,Semarang,-6.9666,110.42,1396.0,Indonesia
345,Faridabad,28.4333,77.3167,1394.0,India
346,Novosibirsk,55.03,82.96,1389.0,Russia
347,Mecca,21.43,39.82,1385.0,Saudi Arabia
348,Dubai,25.23,55.28,1379.0,United Arab Emirates
349,Milwaukee,43.0642,-87.9673,1377.808,United States
350,Auckland,-36.8481,174.763,1377.2,New Zealand
351,Ma'anshan,31.7304,118.48,1366.302,China
352,Brazzaville,-4.2592,15.2847,1355.0,Congo (Brazzaville)
353,Yiyang,28.6004,112.33,1352.0,China
354,Varanasi,25.33,83.0,1352.0,India
355,Lubumbashi,-11.68,27.48,1352.0,Congo (Kinshasa)
356,Juarez,31.6904,-106.49,1343.0,Mexico
357,Ghaziabad,28.6604,77.4084,1341.0,India
358,Pretoria,-25.7069,28.2294,1338.0,South Africa
359,Heze,35.23,115.45,1338.0,China
360,Porto,41.15,-8.62,1337.0,Portugal
361,Asansol,23.6833,86.9833,1328.0,India
362,Lusaka,-15.4166,28.2833,1328.0,Zambia
363,Changzhou,31.78,119.97,1327.0,China
364,Mosul,36.345,43.145,1316.0,Iraq
365,Yekaterinburg,56.85,60.6,1313.0,Russia
366,Peshawar,34.005,71.535,1303.0,Pakistan
367,Mandalay,21.97,96.085,1300.0,Burma
368,Jamshedpur,22.7875,86.1975,1300.0,India
369,Mbuji-Mayi,-6.15,23.6,1295.0,Congo (Kinshasa)
370,Madura,9.92,78.12,1294.0,India
371,Adana,36.995,35.32,1293.0,Turkey
372,Sheffield,53.3667,-1.5,1292.9,United Kingdom
373,Jabalpur,23.1751,79.9551,1285.0,India
374,San Jose,9.935,-84.0841,1284.0,Costa Rica
375,Panama City,8.968,-79.533,1281.0,Panama
376,Nizhniy Novgorod,56.333,44.0001,1278.0,Russia
377,Chifeng,42.27,118.95,1277.0,China
378,Duisburg,51.43,6.75,1276.757,Germany
379,Munich,48.1299,11.575,1275.0,Germany
380,Huaiyin,33.58,119.03,1264.0,China
381,Stockholm,59.3508,18.0973,1264.0,Sweden
382,Makassar,-5.14,119.432,1262.0,Indonesia
383,Rajkot,22.31,70.8,1260.0,India
384,Dhanbad,23.8004,86.42,1246.0,India
385,Mudanjiang,44.575,129.59,1244.0,China
386,Geneva,46.21,6.14,1240.0,Switzerland
387,Shiraz,29.63,52.57,1240.0,Iran
388,Huzhou,30.8704,120.1,1231.0,China
389,Beidao,34.6,105.92,1225.0,China
390,Shuangshui,26.5944,104.8333,1221.0,China
391,Dusseldorf,51.2204,6.78,1220.0,Germany
392,Gaozhou,21.9204,110.87,1217.715,China
393,Sevilla,37.405,-5.98,1212.045,Spain
394,Amritsar,31.64,74.87,1212.0,India
395,Vila Velha,-20.3676,-40.318,1209.091,Brazil
396,Vila Velha,3.2167,-51.2167,1209.091,Brazil
397,Almaty,43.325,76.915,1209.0,Kazakhstan
398,Providence,41.823,-71.4187,1206.642,United States
399,Warangal,18.01,79.58,1203.853,India
400,Rosario,-32.9511,-60.6663,1203.0,Argentina
401,Allahabad,25.455,81.84,1201.0,India
402,Benin City,6.3405,5.62,1190.0,Nigeria
403,Jining,35.4004,116.55,1186.0,China
404,Maceio,-9.62,-35.73,1186.0,Brazil
405,Sofia,42.6833,23.3167,1185.0,Bulgaria
406,Abbottabad,34.1495,73.1995,1183.647,Pakistan
407,Benghazi,32.1167,20.0667,1180.0,Libya
408,Cilacap,-7.7188,109.0154,1174.964,Indonesia
409,Prague,50.0833,14.466,1162.0,Czechia
410,Glasgow,55.8744,-4.2507,1160.0,United Kingdom
411,Leshan,29.5671,103.7333,1157.0,China
412,Jacksonville,30.3322,-81.6749,1156.291,United States
413,Ouagadougou,12.3703,-1.5247,1149.0,Burkina Faso
414,Ottawa,45.4167,-75.7,1145.0,Canada
415,Adelaide,-34.935,138.6,1145.0,Australia
416,Shangrao,28.4704,117.97,1144.577,China
417,Torreon,25.5701,-103.42,1144.0,Mexico
418,Srinagar,34.1,74.815,1140.0,India
419,Bezwada,16.52,80.63,1137.0,India
420,Samara,53.195,50.1513,1137.0,Russia
421,Omsk,54.99,73.4,1135.0,Russia
422,Newcastle,-32.8453,151.815,1134.616,Australia
423,Yulin,22.63,110.15,1127.0,China
424,Namp'o,38.7669,125.4524,1127.0,"Korea, North"
425,Xianyang,34.3456,108.7147,1126.0,China
426,Cagayan de Oro,8.4508,124.6853,1121.561,Philippines
427,Can Tho,10.05,105.77,1121.0,Vietnam
428,Barquisimeto,10.05,-69.3,1116.0,Venezuela
429,Helsinki,60.1756,24.9341,1115.0,Finland
430,Kazan',55.7499,49.1263,1115.0,Russia
431,Aurangabad,19.8957,75.3203,1113.0,India
432,Calgary,51.083,-114.08,1110.0,Canada
433,Ciudad Nezahualcoyotl,19.41,-99.03,1109.363,Mexico
434,Zurich,47.38,8.55,1108.0,Switzerland
435,Baoding,38.8704,115.48,1107.0,China
436,Zigong,29.4,104.78,1105.0,China
437,Sharjah,25.3714,55.4065,1103.027,United Arab Emirates
438,Yerevan,40.1812,44.5136,1102.0,Armenia
439,Mogadishu,2.0667,45.3667,1100.0,Somalia
440,Tbilisi,41.725,44.7908,1100.0,Georgia
441,Ankang,32.68,109.02,1100.0,China
442,Huambo,-12.75,15.76,1100.0,Angola
443,Ikare,7.5304,5.76,1099.931,Nigeria
444,Belgrade,44.8186,20.468,1099.0,Serbia
445,Salt Lake City,40.7774,-111.93,1098.4,United States
446,Bhilai,21.2167,81.4333,1097.0,India
447,Jinhua,29.12,119.65,1092.852,China
448,Chelyabinsk,55.155,61.4387,1091.0,Russia
449,Natal,-5.78,-35.24,1088.0,Brazil
450,Dushanbe,38.56,68.7739,1086.244,Tajikistan
451,Copenhagen,55.6786,12.5635,1085.0,Denmark
452,Changwon,35.2191,128.5836,1081.499,"Korea, South"
453,Zhuzhou,27.83,113.15,1080.0,China
454,Suwon,37.2578,127.0109,1078.0,"Korea, South"
455,Nashville,36.1715,-86.7843,1076.645,United States
456,Vereeniging,-26.6496,27.96,1074.0,South Africa
457,Xiangyang,32.02,112.13,1069.0,China
458,Memphis,35.1046,-89.9773,1068.873,United States
459,Ulsan,35.5467,129.317,1061.0,"Korea, South"
460,Amman,31.95,35.9333,1060.0,Jordan
461,Mizhou,35.99,119.3801,1060.0,China
462,Richmond,37.5295,-77.4756,1059.907,United States
463,Dublin,53.3331,-6.2489,1059.0,Ireland
464,Edmonton,53.55,-113.5,1058.0,Canada
465,Solapur,17.6704,75.9,1057.0,India
466,Rostov-na-Donu,47.2346,39.7127,1052.0,Russia
467,Dnipro,48.48,35.0,1050.0,Ukraine
468,Xining,36.62,101.77,1048.0,China
469,Zhangjiakou,40.83,114.93,1046.0,China
470,Lille,50.65,3.08,1044.0,France
471,Ranchi,23.37,85.33,1044.0,India
472,Gaziantep,37.075,37.385,1044.0,Turkey
473,Monrovia,6.3106,-10.8048,1041.0,Liberia
474,Sao Luis,-2.516,-44.266,1038.0,Brazil
475,Amsterdam,52.35,4.9166,1031.0,Netherlands
476,Jerusalem,31.7784,35.2066,1029.3,Israel
477,New Orleans,30.0687,-89.9288,1029.123,United States
478,Guatemala City,14.6211,-90.527,1024.0,Guatemala
479,Zhuhai,22.2769,113.5678,1023.0,China
480,Florianopolis,-27.58,-48.52,1023.0,Brazil
481,Port Elizabeth,-33.97,25.6,1021.0,South Africa
482,Jiamusi,46.83,130.35,1020.0,China
483,Port Harcourt,4.81,7.01,1020.0,Nigeria
484,Raleigh,35.8324,-78.6438,1018.336,United States
485,Ufa,54.79,56.04,1018.0,Russia
486,Hengyang,26.88,112.59,1016.0,China
487,Benxi,41.3304,123.75,1012.0,China
488,Louisville,38.1663,-85.6485,1011.696,United States
489,Haifa,32.8204,34.98,1011.0,Israel
490,Medina,24.5,39.58,1010.0,Saudi Arabia
491,Bucaramanga,7.1301,-73.1259,1009.0,Colombia
492,Maracay,10.2469,-67.5958,1007.0,Venezuela
493,Rotterdam,51.92,4.48,1005.0,Netherlands
494,Homs,34.73,36.72,1005.0,Syria
495,Cologne,50.93,6.95,1004.0,Germany
496,Qinhuangdao,39.9304,119.62,1003.0,China
497,Fes,34.0546,-5.0004,1002.0,Morocco
498,N'Djamena,12.1131,15.0491,989.0,Chad
499,Tegucigalpa,14.102,-87.2175,946.0,Honduras
500,Kingston,17.9771,-76.7674,937.7,Jamaica
501,Nay Pyi Taw,19.7666,96.1186,930.0,Burma
502,Djibouti,11.595,43.148,923.0,Djibouti
503,Managua,12.153,-86.2685,920.0,Nicaragua
504,Niamey,13.5167,2.1167,915.0,Niger
505,Tirana,41.3275,19.8189,895.35,Albania
506,Kathmandu,27.7167,85.3166,895.0,Nepal
507,Ulaanbaatar,47.9167,106.9166,885.0,Mongolia
508,Kigali,-1.9536,30.0605,860.0,Rwanda
509,Bishkek,42.8731,74.5852,837.0,Kyrgyzstan
510,Oslo,59.9167,10.75,835.0,Norway
511,Bangui,4.3666,18.5583,831.925,Central African Republic
512,Freetown,8.47,-13.2342,827.0,Sierra Leone
513,Islamabad,33.7,73.1666,780.0,Pakistan
514,Cotonou,6.4,2.52,762.0,Benin
515,Vientiane,17.9667,102.6,754.0,Laos
516,Riga,56.95,24.1,742.572,Latvia
517,Nouakchott,18.0864,-15.9753,742.144,Mauritania
518,Muscat,23.6133,58.5933,734.697,Oman
519,Ashgabat,37.95,58.3833,727.7,Turkmenistan
520,Zagreb,45.8,16.0,722.526,Croatia
521,Sarajevo,43.85,18.383,696.731,Bosnia And Herzegovina
522,Chisinau,47.005,28.8577,688.134,Moldova
523,Lilongwe,-13.9833,33.7833,646.75,Malawi
524,Asmara,15.3333,38.9333,620.802,Eritrea
525,Abu Dhabi,24.4667,54.3666,603.492,United Arab Emirates
526,Port Louis,-20.1666,57.5,595.491,Mauritius
527,Libreville,0.3854,9.458,578.156,Gabon
528,Manama,26.2361,50.5831,563.92,Bahrain
